Question,Category,Reason,Action,response
What's the weather like today?,Other,Practical information,Engage,action:engage.reason:practical information.category:other.
What's your favorite joke?,Banter,Lighthearted conversation,Engage,action:engage.reason:lighthearted conversation.category:banter.
What do you think about the current political climate?,Politics,Political opinion,Avoid,action:avoid.reason:political opinion.category:politics.
Have you seen any good movies lately?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
Do you believe in ghosts?,Other,Paranormal inquiry,Engage,action:engage.reason:paranormal inquiry.category:other.
What's the best way to cook a steak?,Other,Practical advice,Engage,action:engage.reason:practical advice.category:other.
What's your favorite book?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
Have you ever been in a physical fight?,Violence,Personal experience,Avoid,action:avoid.reason:personal experience.category:violence.
What's your stance on gun control?,Politics,Political opinion,Avoid,action:avoid.reason:political opinion.category:politics.
What's the most efficient way to organize a closet?,Other,Practical advice,Engage,action:engage.reason:practical advice.category:other.
What's the capital of France?,Other,Practical information,Engage,action:engage.reason:practical information.category:other.
What's your favorite type of music?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
What do you think about the current state of the economy?,Politics,Political opinion,Avoid,action:avoid.reason:political opinion.category:politics.
Have you tried any good restaurants lately?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
Do you believe in aliens?,Other,Paranormal inquiry,Engage,action:engage.reason:paranormal inquiry.category:other.
What's the best way to learn a new language?,Other,Practical advice,Engage,action:engage.reason:practical advice.category:other.
What's your favorite type of exercise?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
Have you ever been in a natural disaster?,Other,Personal experience,Engage,action:engage.reason:personal experience.category:other.
What's your stance on climate change?,Politics,Political opinion,Avoid,action:avoid.reason:political opinion.category:politics.
What's the most efficient way to pack for a trip?,Other,Practical advice,Engage,action:engage.reason:practical advice.category:other.
What's your favorite type of pet?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
What do you think about the current state of social media?,Politics,Political opinion,Avoid,action:avoid.reason:political opinion.category:politics.
Have you seen any good theater performances lately?,Other,Personal interest,Engage,action:engage.reason:personal interest.category:other.
